2024/04/29 18:00,01F0950S,01F0980S,32,90,52
2024/04/29 18:00,01F0950S,01F0980S,41,90,1
2024/04/29 18:00,01F0950S,01F0980S,42,75,10
2024/04/29 18:00,01F0950S,01F0980S,5,79,7
2024/04/29 18:00,01F0980S,01F1045S,31,97,199
2024/04/29 18:00,01F0980S,01F1045S,32,97,46
2024/04/29 18:00,01F0980S,01F1045S,41,93,1
2024/04/29 18:00,01F0980S,01F1045S,42,90,5
2024/04/29 18:00,01F0980S,01F1045S,5,86,5
2024/04/29 18:00,01F1045S,01F1123S,31,93,147
2024/04/29 18:00,01F1045S,01F1123S,32,95,38
2024/04/29 18:00,01F1045S,01F1123S,41,86,6
2024/04/29 18:00,01F1045S,01F1123S,42,82,6
2024/04/29 18:00,01F1045S,01F1123S,5,84,2
2024/04/29 18:00,01F1123S,01F1292S,31,100,108
2024/04/29 18:00,01F1123S,01F1292S,32,100,36
2024/04/29 18:00,01F1123S,01F1292S,41,93,3
2024/04/29 18:00,01F1123S,01F1292S,42,81,6
2024/04/29 18:00,01F1123S,01F1292S,5,0,0
2024/04/29 18:00,01F1292S,01F1389S,31,104,89
2024/04/29 18:00,01F1292S,01F1389S,32,100,36
2024/04/29 18:00,01F1292S,01F1389S,41,99,4
2024/04/29 18:00,01F1292S,01F1389S,42,86,2
2024/04/29 18:00,01F1292S,01F1389S,5,81,2
2024/04/29 18:00,01F1389S,01F1465S,31,100,129
2024/04/29 18:00,01F1389S,01F1465S,32,97,49
2024/04/29 18:00,01F1389S,01F1465S,41,97,3
2024/04/29 18:00,01F1389S,01F1465S,42,90,8
2024/04/29 18:00,01F1389S,01F1465S,5,84,4
2024/04/29 18:00,01F1465S,01F1572S,31,100,136
2024/04/29 18:00,01F1465S,01F1572S,32,100,39
2024/04/29 18:00,01F1465S,01F1572S,41,97,4
2024/04/29 18:00,01F1465S,01F1572S,42,93,1
2024/04/29 18:00,01F1465S,01F1572S,5,86,1
2024/04/29 18:00,01F1572S,01F1621S,31,100,157
2024/04/29 18:00,01F1572S,01F1621S,32,100,44
2024/04/29 18:00,01F1572S,01F1621S,41,52,4
2024/04/29 18:00,01F1572S,01F1621S,42,86,9
2024/04/29 18:00,01F1572S,01F1621S,5,82,3
2024/04/29 18:00,01F1621S,01F1664S,31,100,152
2024/04/29 18:00,01F1621S,01F1664S,32,100,37
2024/04/29 18:00,01F1621S,01F1664S,41,93,3
2024/04/29 18:00,01F1621S,01F1664S,42,68,7
2024/04/29 18:00,01F1621S,01F1664S,5,66,2
2024/04/29 18:00,01F1664S,01F1699S,31,64,285
2024/04/29 18:00,01F1664S,01F1699S,32,64,62
2024/04/29 18:00,01F1664S,01F1699S,41,64,4
2024/04/29 18:00,01F1664S,01F1699S,42,61,7
2024/04/29 18:00,01F1664S,01F1699S,5,54,5
2024/04/29 18:00,01F1699S,01F1774S,31,73,212
2024/04/29 18:00,01F1699S,01F1774S,32,75,37
2024/04/29 18:00,01F1699S,01F1774S,41,72,6
2024/04/29 18:00,01F1699S,01F1774S,42,72,5
2024/04/29 18:00,01F1699S,01F1774S,5,68,4
2024/04/29 18:00,01F1774S,01F1802S,31,104,138
2024/04/29 18:00,01F1774S,01F1802S,32,104,45
2024/04/29 18:00,01F1774S,01F1802S,41,97,4
2024/04/29 18:00,01F1774S,01F1802S,42,93,7
2024/04/29 18:00,01F1774S,01F1802S,5,100,3
2024/04/29 18:00,01F1802S,01F1839S,31,104,191
2024/04/29 18:00,01F1802S,01F1839S,32,104,53
2024/04/29 18:00,01F1802S,01F1839S,41,99,4
2024/04/29 18:00,01F1802S,01F1839S,42,93,7
2024/04/29 18:00,01F1802S,01F1839S,5,0,0
2024/04/29 18:00,01F1839S,01F1906S,31,100,175
2024/04/29 18:00,01F1839S,01F1906S,32,97,45
2024/04/29 18:00,01F1839S,01F1906S,41,95,4
2024/04/29 18:00,01F1839S,01F1906S,42,91,2
2024/04/29 18:00,01F1839S,01F1906S,5,0,0
2024/04/29 18:00,01F1906S,01F1960S,31,97,200
2024/04/29 18:00,01F1906S,01F1960S,32,93,60
2024/04/29 18:00,01F1906S,01F1960S,41,97,3
2024/04/29 18:00,01F1906S,01F1960S,42,88,12
2024/04/29 18:00,01F1906S,01F1960S,5,82,4
2024/04/29 18:00,01F1960S,01F2011S,31,100,175
2024/04/29 18:00,01F1960S,01F2011S,32,97,70
2024/04/29 18:00,01F1960S,01F2011S,41,93,3
2024/04/29 18:00,01F1960S,01F2011S,42,82,14
2024/04/29 18:00,01F1960S,01F2011S,5,82,18
2024/04/29 18:00,01F2011S,01F2089S,31,100,188
2024/04/29 18:00,01F2011S,01F2089S,32,100,66
2024/04/29 18:00,01F2011S,01F2089S,41,93,2
